                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 0.2227,                 0.1801,                0.86504,                0.49295,                 0.3623,                0.34694,                0.11897,                  2.672,                 2.4024,                 3.0436,               0.004984,               0.004984,               0.004984
                     78,                0.22283,                0.18036,                0.86402,                0.47842,                0.36966,                0.38765,                0.14107,                 2.5553,                 2.4067,                 2.9454,               0.004918,               0.004918,               0.004918
                     79,                0.22089,                0.17942,                0.86499,                0.57638,                0.32548,                0.35362,                0.09034,                 2.8031,                 2.9323,                 3.2616,               0.004852,               0.004852,               0.004852
                     80,                0.22422,                0.17847,                0.86578,                0.55001,                0.34561,                0.34317,                0.07759,                 2.7559,                 2.6739,                 3.5643,               0.004786,               0.004786,               0.004786
                     81,                0.22295,                0.17691,                0.86445,                0.47129,                0.36082,                0.34334,                0.10626,                  2.682,                  2.568,                 3.2717,                0.00472,                0.00472,                0.00472
                     82,                0.21924,                0.17536,                0.86031,                0.47933,                0.40403,                0.38345,                0.12122,                 2.6475,                  2.317,                 3.2391,               0.004654,               0.004654,               0.004654
                     83,                   0.22,                0.17896,                0.86495,                0.48174,                0.37408,                0.36193,                0.08423,                 2.7718,                 2.2354,                 3.3684,               0.004588,               0.004588,               0.004588
                     84,                0.21934,                0.17683,                0.86049,                0.47629,                0.30781,                0.32581,                0.10758,                 2.7977,                 2.5007,                 3.2582,               0.004522,               0.004522,               0.004522
                     85,                0.21326,                0.17074,                0.85783,                0.65558,                0.30781,                 0.3671,                0.11959,                 2.7893,                 2.4397,                 3.3185,               0.004456,               0.004456,               0.004456
                     86,                0.21668,                0.17221,                0.85878,                0.54511,                0.34904,                0.36751,                0.11829,                 2.8334,                 2.4735,                  3.411,                0.00439,                0.00439,                0.00439
                     87,                  0.215,                0.17124,                0.86173,                 0.5446,                0.34021,                  0.361,                0.11073,                 2.9325,                 2.4736,                 3.5998,               0.004324,               0.004324,               0.004324
                     88,                0.21221,                0.16924,                 0.8574,                0.56107,                0.31811,                0.33241,                0.08192,                 3.0613,                 2.7027,                  3.776,               0.004258,               0.004258,               0.004258
                     89,                 0.2093,                0.16842,                0.85905,                0.48755,                0.39234,                0.40067,                0.13364,                 2.7839,                 2.2696,                 3.3777,               0.004192,               0.004192,               0.004192
                     90,                0.20848,                 0.1674,                0.85796,                0.61307,                0.40648,                0.42513,                0.14025,                 2.7268,                 2.1084,                 3.1683,               0.004126,               0.004126,               0.004126
                     91,                0.21026,                0.16952,                 0.8566,                0.60021,                0.37555,                0.41107,                0.13341,                 2.7068,                 2.0961,                 3.2548,                0.00406,                0.00406,                0.00406
                     92,                0.21268,                0.16752,                0.85827,                0.58266,                 0.4109,                0.41001,                0.14201,                 2.6554,                  2.195,                 3.1556,               0.003994,               0.003994,               0.003994
                     93,                 0.2107,                0.16686,                0.86074,                0.58447,                0.39773,                0.40356,                0.12563,                 2.6964,                 2.0654,                 3.2171,               0.003928,               0.003928,               0.003928
