                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.26928,                0.21348,                0.88398,                0.51511,                 0.3661,                0.39443,                 0.1377,                 2.5775,                 2.5188,                 3.2087,               0.005743,               0.005743,               0.005743
                     88,                0.26693,                0.21264,                0.88089,                 0.7267,                0.29161,                0.37054,                0.11032,                 2.6206,                 2.6641,                 3.3775,              0.0056935,              0.0056935,              0.0056935
                     89,                0.26392,                0.21261,                0.88118,                0.74177,                0.28866,                0.36878,                0.11357,                 2.6872,                 2.7316,                 3.4498,               0.005644,               0.005644,               0.005644
                     90,                0.26099,                0.21144,                0.87929,                0.48911,                0.36966,                0.37787,                 0.1063,                 2.7161,                 2.1627,                 3.3181,              0.0055945,              0.0055945,              0.0055945
                     91,                0.26308,                0.21027,                0.88027,                0.51152,                0.36377,                0.38627,                0.10839,                 2.6717,                 2.3683,                 3.2898,               0.005545,               0.005545,               0.005545
                     92,                0.26313,                0.20967,                0.88154,                0.57634,                0.36377,                0.39713,                0.10615,                 2.6298,                 2.2778,                 3.2165,              0.0054955,              0.0054955,              0.0054955
                     93,                0.26028,                0.21001,                0.88347,                0.55034,                0.39175,                0.38881,                0.12199,                 2.4614,                 2.2653,                 2.9954,               0.005446,               0.005446,               0.005446
                     94,                0.26255,                0.21122,                0.88334,                0.56491,                0.35375,                0.39048,                0.11857,                 2.6881,                 2.3928,                 3.2409,              0.0053965,              0.0053965,              0.0053965
                     95,                0.26217,                0.21074,                0.87895,                0.55935,                0.38439,                0.40756,                0.11681,                 2.6009,                 2.0989,                 3.4317,               0.005347,               0.005347,               0.005347
                     96,                 0.2607,                0.20909,                0.88006,                0.59144,                0.38144,                 0.3895,                0.13193,                 2.5042,                 2.3558,                 3.0185,              0.0052975,              0.0052975,              0.0052975
                     97,                0.26009,                0.20869,                0.87902,                0.58717,                0.34168,                 0.3592,                0.08638,                 2.6923,                  2.625,                 3.1867,               0.005248,               0.005248,               0.005248
                     98,                0.25906,                0.20555,                0.87786,                0.56323,                0.33873,                0.33224,                0.08203,                 2.6726,                 2.9366,                 3.4127,              0.0051985,              0.0051985,              0.0051985
                     99,                0.25705,                0.20639,                0.87854,                0.52748,                0.34757,                0.33739,                0.09086,                 2.6345,                  2.558,                 3.2502,               0.005149,               0.005149,               0.005149
                    100,                0.25783,                0.20671,                0.87912,                0.55221,                0.43152,                0.43003,                0.13517,                 2.5937,                 2.0914,                 3.1367,              0.0050995,              0.0050995,              0.0050995
                    101,                0.25709,                0.20805,                0.88011,                0.53425,                0.39024,                0.41252,                0.13612,                 2.5316,                 2.1707,                 2.9823,                0.00505,                0.00505,                0.00505
                    102,                0.25222,                0.20331,                0.88083,                0.53598,                0.36377,                0.39744,                0.12574,                  2.632,                 2.2111,                 3.0553,              0.0050005,              0.0050005,              0.0050005
                    103,                0.25575,                0.20441,                0.87505,                0.57601,                0.36082,                0.39017,                0.13187,                 2.6009,                 2.4113,                 2.8535,               0.004951,               0.004951,               0.004951
                    104,                0.25161,                0.20192,                0.87645,                0.54971,                0.37261,                0.40153,                0.12539,                 2.5589,                 2.4995,                  2.836,              0.0049015,              0.0049015,              0.0049015
                    105,                0.24884,                  0.198,                0.87556,                0.60022,                0.36524,                0.41189,                0.14494,                 2.7378,                 2.2171,                  3.178,               0.004852,               0.004852,               0.004852
